Species,term,comparison,estimate,conf.low,conf.high,adj.p.value
DLAB,tile_type,Bioglass-Arag Sand,0.08314230892923881,-0.18418701726010633,0.3504716351185839,0.9822812861122258
DLAB,tile_type,Ceramic-Arag Sand,-0.00788420418808504,-0.26277271571785754,0.24700430734168743,0.9999999995703069
DLAB,tile_type,Dol/Sr-Arag Sand,0.0845888292672901,-0.17029968226248238,0.3394773407970626,0.9736358864574945
DLAB,tile_type,Dolomite-Arag Sand,0.2024587783304604,-0.0524297331993121,0.4573472898602329,0.21945697590433033
DLAB,tile_type,Glass Fiber-Arag Sand,-0.00719266644923601,-0.2620811779790085,0.2476958450805365,0.9999999997935014
DLAB,tile_type,PG Sand-Arag Sand,0.7161548291725927,0.4488255029832475,0.9834841553619378,1.5101923045435228e-9
DLAB,tile_type,Plain-Arag Sand,-0.07164463587478573,-0.3265331474045582,0.18324387565498676,0.9907076378422175
DLAB,tile_type,SrCO3-Arag Sand,0.5731835083610072,0.3182949968312347,0.8280720198907796,1.436983031455341e-7
DLAB,tile_type,Ceramic-Bioglass,-0.09102651311732385,-0.358355839306669,0.17630281307202128,0.9692662634095233
DLAB,tile_type,Dol/Sr-Bioglass,0.001446520338051288,-0.26588280585129387,0.2687758465273964,1
DLAB,tile_type,Dolomite-Bioglass,0.11931646940122159,-0.14801285678812354,0.3866457955905667,0.8685113766523189
DLAB,tile_type,Glass Fiber-Bioglass,-0.09033497537847482,-0.3576643015678199,0.1769943508108703,0.9706266825723107
DLAB,tile_type,PG Sand-Bioglass,0.6330125202433539,0.3537961454158098,0.9122288950708979,1.1795599230701725e-7
DLAB,tile_type,Plain-Bioglass,-0.15478694480402455,-0.4221162709933697,0.11254238138532058,0.6237891934401476
DLAB,tile_type,SrCO3-Bioglass,0.4900411994317683,0.2227118732424232,0.7573705256211134,1.293647439715162e-5
DLAB,tile_type,Dol/Sr-Ceramic,0.09247303345537514,-0.16241547807439735,0.3473615449851476,0.9555859317007482
DLAB,tile_type,Dolomite-Ceramic,0.21034298251854544,-0.04454552901122705,0.46523149404831793,0.18034105216194396
DLAB,tile_type,Glass Fiber-Ceramic,6.915377388490296e-4,-0.25419697379092343,0.25558004926862155,1
DLAB,tile_type,PG Sand-Ceramic,0.7240390333606777,0.4567097071713325,0.9913683595500228,1.1129012156274598e-9
DLAB,tile_type,Plain-Ceramic,-0.06376043168670069,-0.3186489432164732,0.19112807984307179,0.9957295986538397
DLAB,tile_type,SrCO3-Ceramic,0.5810677125490922,0.3261792010193197,0.8359562240788647,1.0302164521469592e-7
DLAB,tile_type,Dolomite-Dol/Sr,0.1178699490631703,-0.13701856246660218,0.3727584605929428,0.8448783027993931
DLAB,tile_type,Glass Fiber-Dol/Sr,-0.091781495716526107,-0.3466700072462986,0.16310701581324638,0.9574458953806106
DLAB,tile_type,PG Sand-Dol/Sr,0.6315659999053025,0.36423667371595736,0.8988953260946476,4.240561213286753e-8
DLAB,tile_type,Plain-Dol/Sr,-0.15623346514207584,-0.41112197667184835,0.09865504638769665,0.5510689604611054
DLAB,tile_type,SrCO3-Dol/Sr,0.488594679093717,0.23370616756394452,0.7434831906234896,5.22265906288677e-6
DLAB,tile_type,Glass Fiber-Dolomite,-0.2096514447796964,-0.46453995630946887,0.04523706675007608,0.1835484338887532
DLAB,tile_type,PG Sand-Dolomite,0.5136960508421322,0.24636672465278708,0.7810253770314773,4.963817105130275e-6
DLAB,tile_type,Plain-Dolomite,-0.27410341420524614,-0.5289919257350186,-0.019214902675473655,0.02663972049832264
DLAB,tile_type,SrCO3-Dolomite,0.37072473003054673,0.11583621850077425,0.6256132415603193,7.135831527947945e-4
DLAB,tile_type,PG Sand-Glass Fiber,0.7233474956218287,0.4560181694324835,0.9906768218111738,1.1430533186640446e-9
DLAB,tile_type,Plain-Glass Fiber,-0.06445196942554972,-0.3193404809553222,0.19043654210422278,0.9954048485539555
DLAB,tile_type,SrCO3-Glass Fiber,0.5803761748102432,0.3254876632804707,0.8352646863400157,1.0607042943977518e-7
DLAB,tile_type,Plain-PG Sand,-0.7877994650473783,-1.0551287912367235,-0.5204701388580332,9.881051532545371e-11
DLAB,tile_type,SrCO3-PG Sand,-0.14297132081158548,-0.4103006470009306,0.12435800537775965,0.715503949657506
DLAB,tile_type,SrCO3-Plain,0.6448281442357928,0.38993963270602033,0.8997166557655654,7.176868321856489e-9
APAL,tile_type,Bioglass-Arag Sand,-0.19631988549637427,-0.6693184452313505,0.27667867423860193,0.9066393844493859
APAL,tile_type,Ceramic-Arag Sand,-0.12632721583027837,-0.5773136473046248,0.32465921564406797,0.9906999766348632
APAL,tile_type,Dol/Sr-Arag Sand,0.10829340055243539,-0.34269303092191095,0.5592798320267818,0.9966899138446972
APAL,tile_type,Dolomite-Arag Sand,-0.11473585714889825,-0.5877344168838745,0.35826270258607795,0.9964512346257963
APAL,tile_type,Glass Fiber-Arag Sand,0.0255899491575661,-0.4253964823167803,0.47657638063191243,0.9999999444269082
APAL,tile_type,PG Sand-Arag Sand,0.40383655932683094,-0.047149872147515426,0.8548229908011773,0.11090270615352682
APAL,tile_type,Plain-Arag Sand,0.018534585544057597,-0.45446397419091866,0.4915331452790338,0.9999999970744713
APAL,tile_type,SrCO3-Arag Sand,-0.13196977461704631,-0.6049683343520226,0.3410287851179299,0.9909369409163107
APAL,tile_type,Ceramic-Bioglass,0.06999266966609591,-0.4030058900688803,0.5429912294010721,0.9999018459626188
APAL,tile_type,Dol/Sr-Bioglass,0.30461328604880966,-0.16838527368616657,0.777611845783786,0.48239687338595416
APAL,tile_type,Dolomite-Bioglass,0.08158402834747602,-0.4124468549470387,0.5756149116419907,0.9997763416354154
APAL,tile_type,Glass Fiber-Bioglass,0.22190983465394037,-0.25108872508103586,0.6949083943889166,0.8322535786876554
APAL,tile_type,PG Sand-Bioglass,0.6001564448232052,0.12715788508822895,1.0731550045581815,0.004630896501946702
APAL,tile_type,Plain-Bioglass,0.21485447104043187,-0.27917641225408285,0.7088853543349466,0.8822350509927475
APAL,tile_type,SrCO3-Bioglass,0.06435011087932796,-0.42968077241518676,0.5583809941738427,0.999962802584896
APAL,tile_type,Dol/Sr-Ceramic,0.23462061638271375,-0.2163658150916326,0.6856070478570602,0.7414699536230297
APAL,tile_type,Dolomite-Ceramic,0.011591358681380115,-0.4614072010535961,0.48458991841635635,0.9999999999309099
APAL,tile_type,Glass Fiber-Ceramic,0.15191716498784447,-0.2990692664865019,0.6029035964621908,0.9705829363917978
APAL,tile_type,PG Sand-Ceramic,0.5301637751571093,0.07917734368276297,0.9811502066314557,0.011043664067410641
APAL,tile_type,Plain-Ceramic,0.14486180137433596,-0.32813675836064027,0.6178603611093122,0.9835492194711546
APAL,tile_type,SrCO3-Ceramic,-0.005642558786767948,-0.4786411185217442,0.4673560009482083,1
APAL,tile_type,Dolomite-Dol/Sr,-0.22302925770133364,-0.6960278174363099,0.2499693020336426,0.8284503204728415
APAL,tile_type,Glass Fiber-Dol/Sr,-0.08270345139486929,-0.5336898828692156,0.3682829800794771,0.999514763745984
APAL,tile_type,PG Sand-Dol/Sr,0.2955431587743955,-0.15544327269995084,0.7465295902487419,0.4589384853998475
APAL,tile_type,Plain-Dol/Sr,-0.08975881500837779,-0.5627573747433541,0.38323974472659844,0.9993769961460957
APAL,tile_type,SrCO3-Dol/Sr,-0.2402631751694817,-0.7132617349044579,0.23273538456549453,0.7648195444441814
APAL,tile_type,Glass Fiber-Dolomite,0.14032580630646435,-0.3326727534285119,0.6133243660414406,0.9865400298780393
APAL,tile_type,PG Sand-Dolomite,0.5185724164757292,0.04557385674075293,0.9915709762107054,0.02233832971221661
APAL,tile_type,Plain-Dolomite,0.13327044269295585,-0.3607604406015589,0.6273013259874706,0.9927371229820938
APAL,tile_type,SrCO3-Dolomite,-0.017233917468148063,-0.5112648007626628,0.47679696582636666,0.9999999988420412
APAL,tile_type,PG Sand-Glass Fiber,0.3782466101692648,-0.07273982130508155,0.8292330416436111,0.1641500325397287
APAL,tile_type,Plain-Glass Fiber,-0.007055363613508503,-0.48005392334848473,0.46594319612146773,0.9999999999988012
APAL,tile_type,SrCO3-Glass Fiber,-0.15755972377461241,-0.6305582835095886,0.3154388359603638,0.9724808737780806
APAL,tile_type,Plain-PG Sand,-0.3853019737827733,-0.8583005335177496,0.08769658595220292,0.19205755420413073
APAL,tile_type,SrCO3-PG Sand,-0.5358063339438772,-1.0088048936788534,-0.06280777420890099,0.016224827099685202
APAL,tile_type,SrCO3-Plain,-0.1505043601611039,-0.6445352434556186,0.3435265231334108,0.9840860432616272
